Directory Name,File Name,Size,Size Unit,is File,File Path
ADS_COMMON,,14,MB,N,E:\D Drive\Ajit\FreeREZ\WebUIProjects\ADS_COMMON
ADS_WEB,,15,MB,N,E:\D Drive\Ajit\FreeREZ\WebUIProjects\ADS_WEB
App_Data,,10,MB,N,E:\D Drive\Ajit\FreeREZ\WebUIProjects\WebServicesUI\App_Data
WebServicesUI,,13,MB,N,E:\D Drive\Ajit\FreeREZ\WebUIProjects\WebServicesUI
WebUIProjects,,42,MB,N,E:\D Drive\Ajit\FreeREZ\WebUIProjects
FreeREZ,,108,MB,N,E:\D Drive\Ajit\FreeREZ
Wrox.Professional.ASP.NET.4.in.CSharp.and.VB.Mar.2010,,41,MB,N,E:\D Drive\Ajit\Learning\Wrox.Professional.ASP.NET.4.in.CSharp.and.VB.Mar.2010
Learning,,44,MB,N,E:\D Drive\Ajit\Learning
PGLOG,,240,MB,N,E:\D Drive\Ajit\Multiclass\CUT\Componentes_Testing\PGLOG
Componentes_Testing,,261,MB,N,E:\D Drive\Ajit\Multiclass\CUT\Componentes_Testing
PGLOG,,240,MB,N,E:\D Drive\Ajit\Multiclass\CUT\Components\PGLOG
Components,,261,MB,N,E:\D Drive\Ajit\Multiclass\CUT\Components
CRS,,31,MB,N,E:\D Drive\Ajit\Multiclass\CUT\CRS
CRS_Testing,,31,MB,N,E:\D Drive\Ajit\Multiclass\CUT\CRS_Testing
Reports,,88,MB,N,E:\D Drive\Ajit\Multiclass\CUT\POS_Multiclass_Code\Reports
POS_Multiclass_Code,,104,MB,N,E:\D Drive\Ajit\Multiclass\CUT\POS_Multiclass_Code
RMS Release,,12,MB,N,E:\D Drive\Ajit\Multiclass\CUT\RMS Release
CUT,,700,MB,N,E:\D Drive\Ajit\Multiclass\CUT
Design,,38,MB,N,E:\D Drive\Ajit\Multiclass\Design
Multiclass,,740,MB,N,E:\D Drive\Ajit\Multiclass
My Download,,17,MB,N,E:\D Drive\Ajit\My Download
CleanedDatabase,,31,MB,N,E:\D Drive\Ajit\PHHL\CleanedDatabase
BusinessFacadeProjects,,34,MB,N,E:\D Drive\Ajit\PHHL\FreeREZ_Production\FreeREZ\BusinessFacadeProjects
BusinessRulesProjects,,19,MB,N,E:\D Drive\Ajit\PHHL\FreeREZ_Production\FreeREZ\BusinessRulesProjects
ADS_COMMON,,13,MB,N,E:\D Drive\Ajit\PHHL\FreeREZ_Production\FreeREZ\WebUIProjects\ADS_COMMON
ADS_WEB,,13,MB,N,E:\D Drive\Ajit\PHHL\FreeREZ_Production\FreeREZ\WebUIProjects\ADS_WEB
WebUIProjects,,27,MB,N,E:\D Drive\Ajit\PHHL\FreeREZ_Production\FreeREZ\WebUIProjects
FreeREZ,,90,MB,N,E:\D Drive\Ajit\PHHL\FreeREZ_Production\FreeREZ
FreeREZ_Production,,90,MB,N,E:\D Drive\Ajit\PHHL\FreeREZ_Production
Pawan Hans User Documentation,,25,MB,N,E:\D Drive\Ajit\PHHL\Pawan Hans User Documentation
Test,,12,MB,N,E:\D Drive\Ajit\PHHL\PHHL Doc\Test
User Documents,,10,MB,N,E:\D Drive\Ajit\PHHL\PHHL Doc\User Documents
PHHL Doc,,23,MB,N,E:\D Drive\Ajit\PHHL\PHHL Doc
COMMON,,16,MB,N,E:\D Drive\Ajit\PHHL\Production Backup FreeREZ\FreeREZ\COMMON
TA,,12,MB,N,E:\D Drive\Ajit\PHHL\Production Backup FreeREZ\FreeREZ\WEB\TA
WEB,,21,MB,N,E:\D Drive\Ajit\PHHL\Production Backup FreeREZ\FreeREZ\WEB
FreeREZ,,38,MB,N,E:\D Drive\Ajit\PHHL\Production Backup FreeREZ\FreeREZ
Production Backup FreeREZ,,38,MB,N,E:\D Drive\Ajit\PHHL\Production Backup FreeREZ
Pawan Hans User Documentation,,25,MB,N,E:\D Drive\Ajit\PHHL\Support\Pawan Hans User Documentation
Support,,29,MB,N,E:\D Drive\Ajit\PHHL\Support
PHHL,,262,MB,N,E:\D Drive\Ajit\PHHL
Project Review,,22,MB,N,E:\D Drive\Ajit\Project Review
CRSV2,,228,MB,N,E:\D Drive\Ajit\Projects\CRSV2\Documents\Engineering\ProgramSpecifications\CRSV2
ProgramSpecifications,,228,MB,N,E:\D Drive\Ajit\Projects\CRSV2\Documents\Engineering\ProgramSpecifications
Engineering,,236,MB,N,E:\D Drive\Ajit\Projects\CRSV2\Documents\Engineering
Documents,,238,MB,N,E:\D Drive\Ajit\Projects\CRSV2\Documents
CRSV2,,267,MB,N,E:\D Drive\Ajit\Projects\CRSV2
Projects,,274,MB,N,E:\D Drive\Ajit\Projects
ADS,,65,MB,N,E:\D Drive\Ajit\Proposal\Airline\ADS
DCS (Stand Alone),,10,MB,N,E:\D Drive\Ajit\Proposal\Airline\DCS (Stand Alone)
Royal Brunei Airlines,,11,MB,N,E:\D Drive\Ajit\Proposal\Airline\IBE\Royal Brunei Airlines
Proposal,,14,MB,N,E:\D Drive\Ajit\Proposal\Airline\IBE\SkyTeam RTW Itinerary Planner\Proposal
SkyTeam RTW Itinerary Planner,,18,MB,N,E:\D Drive\Ajit\Proposal\Airline\IBE\SkyTeam RTW Itinerary Planner
IBE,,71,MB,N,E:\D Drive\Ajit\Proposal\Airline\IBE
Documents,,11,MB,N,E:\D Drive\Ajit\Proposal\Airline\Revenue Management\Air Mauritius\Documents
Air Mauritius,,14,MB,N,E:\D Drive\Ajit\Proposal\Airline\Revenue Management\Air Mauritius
Revenue Management,,20,MB,N,E:\D Drive\Ajit\Proposal\Airline\Revenue Management
Airline,,189,MB,N,E:\D Drive\Ajit\Proposal\Airline
ASKY Airline,,15,MB,N,E:\D Drive\Ajit\Proposal\ASKY Airline
Amitra Hotels,,13,MB,N,E:\D Drive\Ajit\Proposal\Hotel\Amitra Hotels
Hotel,,33,MB,N,E:\D Drive\Ajit\Proposal\Hotel
Proposal,,18,MB,N,E:\D Drive\Ajit\Proposal\LVSC\Proposal
RFP & questionnaire response,,13,MB,N,E:\D Drive\Ajit\Proposal\LVSC\RFP & questionnaire response
LVSC,,32,MB,N,E:\D Drive\Ajit\Proposal\LVSC
B2B,,22,MB,N,E:\D Drive\Ajit\Proposal\OTA\B2B
B2B Corporate,,12,MB,N,E:\D Drive\Ajit\Proposal\OTA\B2B Corporate
Presentation,,18,MB,N,E:\D Drive\Ajit\Proposal\OTA\B2C\Edreams\Presentation
Edreams,,19,MB,N,E:\D Drive\Ajit\Proposal\OTA\B2C\Edreams
B2C,,84,MB,N,E:\D Drive\Ajit\Proposal\OTA\B2C
Docs,,14,MB,N,E:\D Drive\Ajit\Proposal\OTA\Integrated B2B-B2C\Fuzebox\Docs
Fuzebox,,19,MB,N,E:\D Drive\Ajit\Proposal\OTA\Integrated B2B-B2C\Fuzebox
Integrated B2B-B2C,,84,MB,N,E:\D Drive\Ajit\Proposal\OTA\Integrated B2B-B2C
OTA,,233,MB,N,E:\D Drive\Ajit\Proposal\OTA
Presentation,,71,MB,N,E:\D Drive\Ajit\Proposal\Presentation
Diagrams,,15,MB,N,E:\D Drive\Ajit\Proposal\Proposal - Others\LJK Lodging service engine\Diagrams
LJK Lodging service engine,,25,MB,N,E:\D Drive\Ajit\Proposal\Proposal - Others\LJK Lodging service engine
Proposal,,18,MB,N,E:\D Drive\Ajit\Proposal\Proposal - Others\LVSC\Proposal
RFP & questionnaire response,,13,MB,N,E:\D Drive\Ajit\Proposal\Proposal - Others\LVSC\RFP & questionnaire response
LVSC,,32,MB,N,E:\D Drive\Ajit\Proposal\Proposal - Others\LVSC
Reporting Solutions,,14,MB,N,E:\D Drive\Ajit\Proposal\Proposal - Others\Reporting Solutions
Documents,,15,MB,N,E:\D Drive\Ajit\Proposal\Proposal - Others\Revenue Management\Air Mauritius\Documents
Proposal,,14,MB,N,E:\D Drive\Ajit\Proposal\Proposal - Others\Revenue Management\Air Mauritius\Proposal
Air Mauritius,,32,MB,N,E:\D Drive\Ajit\Proposal\Proposal - Others\Revenue Management\Air Mauritius
Revenue Management,,42,MB,N,E:\D Drive\Ajit\Proposal\Proposal - Others\Revenue Management
TravelCLICK,,13,MB,N,E:\D Drive\Ajit\Proposal\Proposal - Others\TravelCLICK
Proposal - Others,,154,MB,N,E:\D Drive\Ajit\Proposal\Proposal - Others
Documents,,10,MB,N,"E:\D Drive\Ajit\Proposal\Proposal - TMC\B2C IBE, POS and ERP\Documents"
"B2C IBE, POS and ERP",,12,MB,N,"E:\D Drive\Ajit\Proposal\Proposal - TMC\B2C IBE, POS and ERP"
Documents,,14,MB,N,E:\D Drive\Ajit\Proposal\Proposal - TMC\ERP\Regency Travel\Documents
Regency Travel,,17,MB,N,E:\D Drive\Ajit\Proposal\Proposal - TMC\ERP\Regency Travel
ERP,,25,MB,N,E:\D Drive\Ajit\Proposal\Proposal - TMC\ERP
Documents - Existing System,,24,MB,N,E:\D Drive\Ajit\Proposal\Proposal - TMC\Front Office Managment\DNATA DFO - (Front Office Migrator)\Documents - Existing System
Proposal,,11,MB,N,E:\D Drive\Ajit\Proposal\Proposal - TMC\Front Office Managment\DNATA DFO - (Front Office Migrator)\Proposal
DNATA DFO - (Front Office Migrator),,39,MB,N,E:\D Drive\Ajit\Proposal\Proposal - TMC\Front Office Managment\DNATA DFO - (Front Office Migrator)
Front Office Managment,,39,MB,N,E:\D Drive\Ajit\Proposal\Proposal - TMC\Front Office Managment
